Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,21,Brazil,5510,Production,603,"Fruit, tropical fresh nes",2012,2012,tonnes,776097,,Official data
QC,Crops,21,Brazil,5510,Production,603,"Fruit, tropical fresh nes",2013,2013,tonnes,838244,,Official data
QC,Crops,21,Brazil,5510,Production,603,"Fruit, tropical fresh nes",2014,2014,tonnes,823284,,Official data
QC,Crops,21,Brazil,5510,Production,406,Garlic,2010,2010,tonnes,104124,,Official data
QC,Crops,21,Brazil,5510,Production,406,Garlic,2011,2011,tonnes,143293,,Official data
QC,Crops,21,Brazil,5510,Production,406,Garlic,2012,2012,tonnes,107009,,Official data
QC,Crops,21,Brazil,5510,Production,406,Garlic,2013,2013,tonnes,102232,,Official data
QC,Crops,21,Brazil,5510,Production,406,Garlic,2014,2014,tonnes,93769,,Official data
QC,Crops,21,Brazil,5510,Production,507,Grapefruit (inc. pomelos),2010,2010,tonnes,75188,Im,FAO data based on imputation methodology
QC,Crops,21,Brazil,5510,Production,507,Grapefruit (inc. pomelos),2011,2011,tonnes,76309,Im,FAO data based on imputation methodology
QC,Crops,21,Brazil,5510,Production,507,Grapefruit (inc. pomelos),2012,2012,tonnes,78000,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,507,Grapefruit (inc. pomelos),2013,2013,tonnes,78000,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,507,Grapefruit (inc. pomelos),2014,2014,tonnes,78491,Im,FAO data based on imputation methodology
QC,Crops,21,Brazil,5510,Production,560,Grapes,2010,2010,tonnes,1355461,,Official data
QC,Crops,21,Brazil,5510,Production,560,Grapes,2011,2011,tonnes,1495336,,Official data
QC,Crops,21,Brazil,5510,Production,560,Grapes,2012,2012,tonnes,1514768,,Official data
QC,Crops,21,Brazil,5510,Production,560,Grapes,2013,2013,tonnes,1439535,,Official data
QC,Crops,21,Brazil,5510,Production,560,Grapes,2014,2014,tonnes,1454183,,Official data
QC,Crops,21,Brazil,5510,Production,242,"Groundnuts, with shell",2010,2010,tonnes,261455,,Official data
